name,manufacturer,price,series,microarchitecture,coreFamily,socket,coreCount,threadCount,baseClockGHz,boostClockGHz,l2CacheMBs,l3CacheMBs,tdpWatts,integratedGraphics,memoryMaxGBs,supportsEcc,includesCooler,hasSmt,smtType,URL
AMD FX-6350,AMD,N/A,AMD FX,Piledriver,Vishera,AM3+,6,6,3.9,N/A,6 MB,8 MB,125,None,N/A,FALSE,TRUE,FALSE,None,https://pcpartpicker.com/product/ZFs8TW/amd-fx-6350-39ghz-6-core-processor-fd6350frhkhbx
AMD Threadripper 1920X,AMD,$199.99+,AMD Threadripper,Zen,Whitehaven,sTR4,12,24,3.5,4,6 MB,32 MB,180,None,1024 GB,TRUE,FALSE,TRUE,None,https://pcpartpicker.com/product/cRDzK8/amd-threadripper-1920x-35ghz-12-core-processor-yd192xa8aewof
Intel Core i5-6600,Intel,N/A,Intel Core i5,Skylake,Skylake-S,LGA1151,4,4,3.3,3.9,1 MB,6 MB,65,Intel HD Graphics 530,64 GB,FALSE,TRUE,FALSE,None,https://pcpartpicker.com/product/m9Gj4D/intel-cpu-bx80662i56600
Intel Core i3-7100,Intel,$129.99+,Intel Core i3,Kaby Lake,Kaby Lake-S,LGA1151,2,4,3.9,N/A,0.5 MB,3 MB,51,Intel HD Graphics 630,64 GB,TRUE,TRUE,TRUE,Hyper-Threading,https://pcpartpicker.com/product/J9X2FT/intel-core-i3-7100-39ghz-dual-core-processor-bx80677i37100
AMD Ryzen 5 1400,AMD,$69.98+,AMD Ryzen 5,Zen,Summit Ridge,AM4,4,8,3.2,3.4,2 MB,8 MB,65,None,N/A,FALSE,TRUE,TRUE,None,https://pcpartpicker.com/product/72wqqs/amd-ryzen-5-1400-32ghz-quad-core-processor-yd1400bbaebox
AMD Ryzen 3 1200 (14nm),AMD,$79.98+,AMD Ryzen 3,Zen,Summit Ridge,AM4,4,4,3.1,3.4,2 MB,8 MB,65,None,N/A,FALSE,TRUE,FALSE,None,https://pcpartpicker.com/product/TX4NnQ/amd-ryzen-3-1300x-35ghz-quad-core-processor-yd1200bbaebox
Intel Celeron G6900,Intel,$129.99+,Intel Celeron,Alder Lake,Alder Lake,LGA1700,2,2,3.4,N/A,2.5 MB,4 MB,46,Intel UHD Graphics 710,128 GB,FALSE,TRUE,FALSE,None,https://pcpartpicker.com/product/QKbTwP/intel-celeron-g6900-34-ghz-dual-core-processor-bx80715g6900
Intel Core 2 Duo E8400,Intel,$27.55 ,Intel Core 2 Duo,Wolfdale,Wolfdale,LGA775,2,2,3,N/A,6 MB,0 MB,65,None,N/A,FALSE,FALSE,FALSE,None,https://pcpartpicker.com/product/Kwbp99/intel-cpu-eu80570pj0806m
Intel Core i7-8700,Intel,N/A,Intel Core i7,Coffee Lake,Coffee Lake,LGA1151,6,12,3.2,4.6,1.5 MB,12 MB,65,Intel UHD Graphics 630,128 GB,FALSE,FALSE,TRUE,Hyper-Threading,https://pcpartpicker.com/product/DTdFf7/intel-core-i7-8700-32ghz-6-core-oemtray-processor-cm8068403358316
Intel Core i9-9900K,Intel,$954.81+,Intel Core i9,Coffee Lake Refresh,Coffee Lake Refresh,LGA1151,8,16,3.6,5,2 MB,16 MB,95,Intel UHD Graphics 630,128 GB,FALSE,FALSE,TRUE,Hyper-Threading,https://pcpartpicker.com/product/z6gzK8/intel-core-i9-9900k-36ghz-8-core-oemtray-processor-cm8068403873914
AMD EPYC 4564P,AMD,$669.99 ,AMD EPYC,Zen 4,Raphael,AM5,16,32,4.5,5.7,16 MB,64 MB,170,Radeon,N/A,TRUE,FALSE,TRUE,None,https://pcpartpicker.com/product/ppXV3C/amd-epyc-4564p-45-ghz-16-core-processor-100-100001476wof
Intel Core i5-3570K,Intel,$124.60+,Intel Core i5,Ivy Bridge,Ivy Bridge,LGA1155,4,4,3.4,N/A,1 MB,6 MB,77,Intel HD Graphics 4000,N/A,FALSE,TRUE,FALSE,None,https://pcpartpicker.com/product/3LZQzy/intel-cpu-bx80637i53570k
Intel Core i5-7600,Intel,$134.53+,Intel Core i5,Kaby Lake,Kaby Lake-S,LGA1151,4,4,3.5,4.1,1 MB,6 MB,65,Intel HD Graphics 630,64 GB,FALSE,TRUE,FALSE,None,https://pcpartpicker.com/product/3pWrxr/intel-core-i5-7600-35ghz-quad-core-processor-bx80677i57600
AMD Threadripper 1950X,AMD,$850.00+,AMD Threadripper,Zen,Whitehaven,sTR4,16,32,3.4,4,8 MB,32 MB,180,None,1024 GB,TRUE,FALSE,TRUE,None,https://pcpartpicker.com/product/CF7CmG/amd-threadripper-1950x-34ghz-16-core-processor-yd195xa8aewof
Intel Core i9-12900F,Intel,$279.99 ,Intel Core i9,Alder Lake,Alder Lake,LGA1700,16,24,2.4,5.1,14 MB,30 MB,65,None,128 GB,FALSE,TRUE,TRUE,Hyper-Threading,https://pcpartpicker.com/product/vDXJ7P/intel-core-i9-12900f-24-ghz-16-core-processor-bx8071512900f
Intel Core i5-12600,Intel,$249.99 ,Intel Core i5,Alder Lake,Alder Lake,LGA1700,6,12,3.3,4.8,7.5 MB,18 MB,65,Intel UHD Graphics 770,128 GB,FALSE,TRUE,TRUE,Hyper-Threading,https://pcpartpicker.com/product/HqXJ7P/intel-core-i5-12600-33-ghz-6-core-processor-bx8071512600
Intel Pentium G4400,Intel,$25.99 ,Intel Pentium,Skylake,Skylake-S,LGA1151,2,2,3.3,N/A,0.5 MB,3 MB,54,Intel HD Graphics 510,64 GB,TRUE,TRUE,FALSE,None,https://pcpartpicker.com/product/YV7CmG/intel-cpu-bx80662g4400
Intel Core i3-13100,Intel,N/A,Intel Core i3,Raptor Lake,Raptor Lake,LGA1700,4,8,3.4,4.5,5 MB,12 MB,60,Intel UHD Graphics 730,192 GB,FALSE,TRUE,TRUE,Hyper-Threading,https://pcpartpicker.com/product/RdjBD3/intel-core-i3-13100-34-ghz-quad-core-processor-bx8071513100
Intel Core i7-2600,Intel,$145.40+,Intel Core i7,Sandy Bridge,Sandy Bridge,LGA1155,4,8,3.4,N/A,1 MB,8 MB,95,Intel HD Graphics 2000,N/A,FALSE,TRUE,TRUE,Hyper-Threading,https://pcpartpicker.com/product/nvyFf7/intel-cpu-bx80623i72600
Intel Core i5-9400F,Intel,N/A,Intel Core i5,Coffee Lake Refresh,Coffee Lake Refresh,LGA1151,6,6,2.9,4.1,1.5 MB,9 MB,65,None,128 GB,FALSE,FALSE,FALSE,None,https://pcpartpicker.com/product/w9VD4D/intel-core-i5-9400f-29-ghz-6-core-oemtray-processor-cm8068403358819
Intel Celeron 420,Intel,$69.95+,Intel Celeron,Core,Conroe,LGA775,1,1,1.6,N/A,0.5 MB,0 MB,35,None,N/A,FALSE,FALSE,FALSE,None,https://pcpartpicker.com/product/hzrG3C/intel-cpu-hh80557rg025512
AMD Ryzen 7 9700F,AMD,N/A,AMD Ryzen 7,Zen 5,Granite Ridge,AM5,8,16,3.8,5.5,8 MB,32 MB,65,None,192 GB,TRUE,FALSE,TRUE,None,https://pcpartpicker.com/product/Dzjv6h/amd-ryzen-7-9700f-38-ghz-8-core-oemtray-processor-100-000001902
Intel Core i5-8400,Intel,$198.95+,Intel Core i5,Coffee Lake,Coffee Lake,LGA1151,6,6,2.8,4,1.5 MB,9 MB,65,Intel UHD Graphics 630,128 GB,FALSE,FALSE,FALSE,None,https://pcpartpicker.com/product/NZgPxr/intel-core-i5-8400-28ghz-6-core-oemtray-processor-cm8068403358811
Intel Core i9-10900F,Intel,$280.00+,Intel Core i9,Comet Lake,Comet Lake,LGA1200,10,20,2.8,5.2,2.5 MB,20 MB,65,None,128 GB,FALSE,TRUE,TRUE,Hyper-Threading,https://pcpartpicker.com/product/DYtKHx/intel-core-i9-10900f-28-ghz-10-core-processor-bx8070110900f
Intel Core i3-9100,Intel,$97.17+,Intel Core i3,Coffee Lake Refresh,Coffee Lake Refresh,LGA1151,4,4,3.6,4.2,1 MB,6 MB,65,Intel UHD Graphics 630,64 GB,TRUE,TRUE,FALSE,None,https://pcpartpicker.com/product/NfKcCJ/intel-core-i3-9100-36-ghz-quad-core-processor-bx80684i39100
Intel Core i7-5820K,Intel,N/A,Intel Core i7,Haswell,Haswell-E,LGA2011-3,6,12,3.3,3.6,1.5 MB,15 MB,140,None,64 GB,FALSE,FALSE,TRUE,Hyper-Threading,https://pcpartpicker.com/product/6tXfrH/intel-cpu-bx80648i75820k
Intel Core i5-4670K,Intel,$106.86 ,Intel Core i5,Haswell,Haswell,LGA1150,4,4,3.4,N/A,1 MB,6 MB,84,Intel HD Graphics 4600,N/A,FALSE,TRUE,FALSE,None,https://pcpartpicker.com/product/DNrG3C/intel-cpu-bx80646i54670k
Intel Core i7-2600K,Intel,$84.99+,Intel Core i7,Sandy Bridge,Sandy Bridge,LGA1155,4,8,3.4,N/A,1 MB,8 MB,95,Intel HD Graphics 3000,N/A,FALSE,TRUE,TRUE,Hyper-Threading,https://pcpartpicker.com/product/LTckcf/intel-cpu-bx80623i72600k
Intel Core i9-13900,Intel,$549.99 ,Intel Core i9,Raptor Lake,Raptor Lake,LGA1700,24,32,2,5.6,32 MB,36 MB,65,Intel UHD Graphics 770,192 GB,TRUE,TRUE,TRUE,Hyper-Threading,https://pcpartpicker.com/product/kNkWGX/intel-core-i9-13900-2-ghz-24-core-processor-bx8071513900
Intel Pentium Gold G7400,Intel,$109.00 ,Intel Pentium Gold,Alder Lake,Alder Lake,LGA1700,2,4,3.7,N/A,2.5 MB,6 MB,46,Intel UHD Graphics 710,128 GB,FALSE,TRUE,TRUE,Hyper-Threading,https://pcpartpicker.com/product/KsBG3C/intel-pentium-gold-g7400-37-ghz-dual-core-processor-bx80715g7400
Intel Core i7-4790K,Intel,$235.09 ,Intel Core i7,Haswell Refresh,Haswell Refresh,LGA1150,4,8,4,4.4,1 MB,8 MB,88,Intel HD Graphics 4600,N/A,FALSE,TRUE,TRUE,Hyper-Threading,https://pcpartpicker.com/product/WMJwrH/intel-cpu-cm8064601710501
AMD Ryzen 9 3900X,AMD,N/A,AMD Ryzen 9,Zen 2,Matisse,AM4,12,24,3.8,4.6,6 MB,64 MB,105,None,128 GB,FALSE,FALSE,TRUE,None,https://pcpartpicker.com/product/pQ3H99/amd-ryzen-9-3900x-36-ghz-12-core-oemtray-processor-100-000000023
Intel Core i9-13900F,Intel,$472.05 ,Intel Core i9,Raptor Lake,Raptor Lake,LGA1700,24,32,2,5.6,32 MB,36 MB,65,None,192 GB,TRUE,TRUE,TRUE,Hyper-Threading,https://pcpartpicker.com/product/rkGbt6/intel-core-i9-13900f-2-ghz-24-core-processor-bx8071513900f
AMD Threadripper 2970WX,AMD,$894.99+,AMD Threadripper,Zen+,Colfax,sTR4,24,48,3,4.2,12 MB,64 MB,250,None,1024 GB,TRUE,FALSE,TRUE,None,https://pcpartpicker.com/product/LRXnTW/amd-threadripper-2970wx-3-ghz-24-core-processor-yd297xazafwof
Intel Core i7-6850K,Intel,$85.00+,Intel Core i7,Broadwell,Broadwell-E,LGA2011-3,6,12,3.6,3.8,1.5 MB,15 MB,140,None,N/A,FALSE,FALSE,TRUE,Hyper-Threading,https://pcpartpicker.com/product/4RvZxr/intel-cpu-bx80671i76850k
Intel Core i3-10105,Intel,$120.00 ,Intel Core i3,Comet Lake,Comet Lake,LGA1200,4,8,3.7,4.4,1 MB,6 MB,65,Intel UHD Graphics 630,128 GB,FALSE,TRUE,TRUE,Hyper-Threading,https://pcpartpicker.com/product/Xht9TW/intel-core-i3-10105-37-ghz-quad-core-processor-bx8070110105
Intel Core i9-7900X,Intel,N/A,Intel Core i9,Skylake,Skylake-X,LGA2066,10,20,3.3,4.5,10 MB,13.75 MB,140,None,128 GB,FALSE,FALSE,TRUE,Hyper-Threading,https://pcpartpicker.com/product/GmtWGX/intel-core-i9-7900x-33ghz-10-core-processor-bx80673i97900x
Intel Xeon E5-1650 V4,Intel,$109.95+,Intel Xeon E5,Broadwell,Broadwell-EP,LGA2011-3,6,12,3.6,4,1.5 MB,15 MB,140,None,1536 GB,TRUE,FALSE,TRUE,Hyper-Threading,https://pcpartpicker.com/product/ypBrxr/intel-xeon-e5-1650-v4-36ghz-6-core-oemtray-processor-cm8066002044306
Intel Xeon E5-2620,Intel,$32.02+,Intel Xeon E5,Sandy Bridge,Sandy Bridge-EP,LGA2011,6,12,2,N/A,1.5 MB,15 MB,95,None,N/A,TRUE,FALSE,TRUE,Hyper-Threading,https://pcpartpicker.com/product/2Q8Zxr/intel-cpu-cm8063501288301
Intel Core i7-9700K,Intel,N/A,Intel Core i7,Coffee Lake Refresh,Coffee Lake Refresh,LGA1151,8,8,3.6,4.9,2 MB,12 MB,95,Intel UHD Graphics 630,128 GB,FALSE,FALSE,FALSE,None,https://pcpartpicker.com/product/6DVD4D/intel-core-i7-9700k-36ghz-8-core-oemtray-processor-cm8068403874212
Intel Core i9-11900,Intel,$881.73+,Intel Core i9,Rocket Lake,Rocket Lake-S,LGA1200,8,16,2.5,5.2,4 MB,16 MB,65,Intel UHD Graphics 750,128 GB,FALSE,TRUE,TRUE,Hyper-Threading,https://pcpartpicker.com/product/3y4Ycf/intel-core-i9-11900-25-ghz-8-core-processor-bx8070811900
Intel Core i5-11500,Intel,$199.00 ,Intel Core i5,Rocket Lake,Rocket Lake-S,LGA1200,6,12,2.7,4.6,3 MB,12 MB,65,Intel UHD Graphics 750,128 GB,FALSE,TRUE,TRUE,Hyper-Threading,https://pcpartpicker.com/product/FsXJ7P/intel-core-i5-11500-27-ghz-6-core-processor-bx8070811500
Intel Xeon E5-2698 V4,Intel,N/A,Intel Xeon E5,Broadwell,Broadwell-EP,LGA2011-3,20,40,2.2,3.6,5 MB,50 MB,135,None,1536 GB,TRUE,FALSE,TRUE,Hyper-Threading,https://pcpartpicker.com/product/GrDzK8/intel-xeon-e5-2698-v4-22ghz-20-core-oemtray-processor-cm8066002024000
Intel Core i5-2500K,Intel,$88.26+,Intel Core i5,Sandy Bridge,Sandy Bridge,LGA1155,4,4,3.3,N/A,0.5 MB,6 MB,95,Intel HD Graphics 3000,N/A,FALSE,TRUE,FALSE,None,https://pcpartpicker.com/product/4WqdnQ/intel-cpu-bx80623i52500k
AMD Ryzen 5 5600XT,AMD,N/A,AMD Ryzen 5,Zen 3,Vermeer,AM4,6,12,3.7,4.7,3 MB,32 MB,65,None,128 GB,TRUE,FALSE,TRUE,None,https://pcpartpicker.com/product/MQCZxr/amd-ryzen-5-5600xt-37-ghz-6-core-oemtray-processor-100-000001585
Intel Core i3-3220,Intel,N/A,Intel Core i3,Ivy Bridge,Ivy Bridge,LGA1155,2,4,3.3,N/A,0.5 MB,3 MB,55,Intel HD Graphics 2500,N/A,TRUE,TRUE,TRUE,Hyper-Threading,https://pcpartpicker.com/product/dZphP6/intel-cpu-bx80637i33220
Intel Core i9-12900,Intel,$419.97 ,Intel Core i9,Alder Lake,Alder Lake,LGA1700,16,24,2.4,5.1,14 MB,30 MB,65,Intel UHD Graphics 770,128 GB,FALSE,TRUE,TRUE,Hyper-Threading,https://pcpartpicker.com/product/JpJgXL/intel-core-i9-12900-24-ghz-16-core-processor-bx8071512900
Intel Pentium Gold G5420,Intel,$29.00 ,Intel Pentium Gold,Coffee Lake,Coffee Lake,LGA1151,2,4,3.8,N/A,0.5 MB,4 MB,54,Intel UHD Graphics 610,64 GB,TRUE,TRUE,TRUE,Hyper-Threading,https://pcpartpicker.com/product/v2xbt6/intel-pentium-gold-g5420-38-ghz-dual-core-processor-bx80684g5420
Intel Core i7-7820X,Intel,$349.99 ,Intel Core i7,Skylake,Skylake-X,LGA2066,8,16,3.6,4.5,8 MB,11 MB,140,None,128 GB,FALSE,FALSE,TRUE,Hyper-Threading,https://pcpartpicker.com/product/C2dFf7/intel-i7-7820x-36ghz-8-core-processor-bx80673i77820x
Intel Core i7-7700K,Intel,N/A,Intel Core i7,Kaby Lake,Kaby Lake-S,LGA1151,4,8,4.2,4.5,1 MB,8 MB,91,Intel HD Graphics 630,64 GB,FALSE,FALSE,TRUE,Hyper-Threading,https://pcpartpicker.com/product/73jWGX/intel-core-i7-7700k-42ghz-quad-core-oemtray-processor-cm8067702868535
AMD Athlon II X2 240,AMD,$29.48 ,AMD Athlon II X2,K10,Regor,AM3,2,2,2.8,N/A,2 MB,0 MB,65,None,N/A,FALSE,FALSE,FALSE,None,https://pcpartpicker.com/product/vZTmP6/amd-cpu-adx240ock23gq
Intel Core i9-10900X,Intel,$450.99+,Intel Core i9,Cascade Lake,Cascade Lake-X,LGA2066,10,20,3.7,4.7,10 MB,19.25 MB,165,None,256 GB,FALSE,FALSE,TRUE,Hyper-Threading,https://pcpartpicker.com/product/r4NgXL/intel-core-i9-10900x-37-ghz-10-core-processor-bx8069510900x
AMD FX-9590,AMD,$286.58 ,AMD FX,Piledriver,Vishera,AM3+,8,8,4.7,5,8 MB,8 MB,220,None,N/A,FALSE,FALSE,FALSE,None,https://pcpartpicker.com/product/pGrG3C/amd-cpu-fd9590fhhkwof
Intel Core i5-6500,Intel,$149.94+,Intel Core i5,Skylake,Skylake-S,LGA1151,4,4,3.2,3.6,1 MB,6 MB,65,Intel HD Graphics 530,64 GB,FALSE,FALSE,FALSE,None,https://pcpartpicker.com/product/8GcMnQ/intel-cpu-cm8066201920404
Intel Core i9-9820X,Intel,N/A,Intel Core i9,Skylake,Skylake-X,LGA2066,10,20,3.3,4.1,10 MB,16.5 MB,165,None,128 GB,FALSE,FALSE,TRUE,Hyper-Threading,https://pcpartpicker.com/product/YG448d/intel-core-i9-9820x-33-ghz-10-core-processor-bx80673i99820x
Intel Core i7-8086K,Intel,N/A,Intel Core i7,Coffee Lake,Coffee Lake,LGA1151,6,12,4,5,1.5 MB,12 MB,95,Intel UHD Graphics 630,128 GB,FALSE,FALSE,TRUE,Hyper-Threading,https://pcpartpicker.com/product/CgqhP6/intel-core-i7-8086k-4ghz-6-core-processor-bx80684i78086k
Intel Core i9-9900,Intel,N/A,Intel Core i9,Coffee Lake Refresh,Coffee Lake Refresh,LGA1151,8,16,3.1,5,2 MB,16 MB,65,Intel UHD Graphics 630,128 GB,FALSE,TRUE,TRUE,Hyper-Threading,https://pcpartpicker.com/product/GWMwrH/intel-core-i9-9900-31-ghz-8-core-processor-bx80684i99900
Intel Core i7-950,Intel,$31.00+,Intel Core i7,Nehalem,Bloomfield,LGA1366,4,8,3.06,N/A,1 MB,8 MB,130,None,N/A,FALSE,TRUE,TRUE,Hyper-Threading,https://pcpartpicker.com/product/3LNp99/intel-cpu-bx80601950
Intel Celeron G5905,Intel,$55.90 ,Intel Celeron,Comet Lake,Comet Lake,LGA1200,2,2,3.5,N/A,0.5 MB,4 MB,58,Intel UHD Graphics 610,128 GB,FALSE,FALSE,FALSE,None,https://pcpartpicker.com/product/NyNgXL/intel-celeron-g5905-56-ghz-dual-core-oemtray-processor-cm8070104292115
AMD FX-8300,AMD,$111.37 ,AMD FX,Piledriver,Vishera,AM3+,8,8,3.3,N/A,8 MB,8 MB,95,None,N/A,FALSE,TRUE,FALSE,None,https://pcpartpicker.com/product/qmrcCJ/amd-cpu-fd8300wmhkbox
Intel Core i7-7800X,Intel,$355.66+,Intel Core i7,Skylake,Skylake-X,LGA2066,6,12,3.5,4,6 MB,8.25 MB,140,None,128 GB,FALSE,FALSE,TRUE,Hyper-Threading,https://pcpartpicker.com/product/ymtWGX/intel-core-i7-7800x-35ghz-6-core-processor-bx80673i77800x
AMD Ryzen 5 3400G,AMD,N/A,AMD Ryzen 5,Zen+,Picasso,AM4,4,8,3.7,4.2,2 MB,4 MB,65,Radeon Vega 11,64 GB,FALSE,FALSE,TRUE,None,https://pcpartpicker.com/product/vnQfrH/amd-ryzen-5-3400g-37-ghz-quad-core-oemtray-processor-yd3400c5m4mfh
Intel Core i9-11900F,Intel,$639.75+,Intel Core i9,Rocket Lake,Rocket Lake-S,LGA1200,8,16,2.5,5.2,4 MB,16 MB,65,None,128 GB,FALSE,TRUE,TRUE,Hyper-Threading,https://pcpartpicker.com/product/RvfnTW/intel-core-i9-11900f-25-ghz-8-core-processor-bx8070811900f
Intel Core i5-8600,Intel,$164.99+,Intel Core i5,Coffee Lake,Coffee Lake,LGA1151,6,6,3.1,4.3,1.5 MB,9 MB,65,Intel UHD Graphics 630,128 GB,FALSE,TRUE,FALSE,None,https://pcpartpicker.com/product/XMTPxr/intel-core-i5-8600-31ghz-6-core-processor-bx80684i58600
AMD EPYC 4565P,AMD,$575.99 ,AMD EPYC,Zen 5,Grado,AM5,16,32,4.3,5.7,16 MB,64 MB,170,Radeon,N/A,TRUE,FALSE,TRUE,None,https://pcpartpicker.com/product/zZvscf/amd-epyc-4565p-43-ghz-16-core-processor-100-100001559wof
Intel Core i5-8500T,Intel,$149.00 ,Intel Core i5,Coffee Lake,Coffee Lake,LGA1151,6,6,2.1,3.5,1.5 MB,9 MB,35,Intel UHD Graphics 630,128 GB,FALSE,FALSE,FALSE,None,https://pcpartpicker.com/product/PLw7YJ/intel-core-i5-8500t-21ghz-6-core-oemtray-processor-cm8068403362509
Intel Core i5-4440,Intel,$100.00+,Intel Core i5,Haswell,Haswell,LGA1150,4,4,3.1,3.3,1 MB,6 MB,84,Intel HD Graphics 4600,N/A,FALSE,TRUE,FALSE,None,https://pcpartpicker.com/product/Qs9KHx/intel-cpu-bx80646i54440
AMD Ryzen 9 PRO 9945,AMD,N/A,AMD Ryzen 9 PRO,Zen 5,Granite Ridge,AM5,12,24,3.4,5.4,12 MB,64 MB,65,Radeon,192 GB,TRUE,FALSE,TRUE,None,https://pcpartpicker.com/product/s8CCmG/amd-ryzen-9-pro-9945-34-ghz-12-core-oemtray-processor-100-000001407
Intel Core i9-10900,Intel,N/A,Intel Core i9,Comet Lake,Comet Lake,LGA1200,10,20,2.8,5.2,2.5 MB,20 MB,65,Intel UHD Graphics 630,128 GB,FALSE,TRUE,TRUE,Hyper-Threading,https://pcpartpicker.com/product/wW7p99/intel-core-i9-10900-28-ghz-10-core-processor-bx8070110900
Intel Core i7-4930K,Intel,$98.00+,Intel Core i7,Ivy Bridge,Ivy Bridge-E,LGA2011,6,12,3.4,3.9,1.5 MB,12 MB,130,None,N/A,FALSE,FALSE,TRUE,Hyper-Threading,https://pcpartpicker.com/product/pvphP6/intel-cpu-bx80633i74930k
Intel Core i3-12100T,Intel,N/A,Intel Core i3,Alder Lake,Alder Lake,LGA1700,4,8,2.2,4.1,5 MB,12 MB,35,Intel UHD Graphics 730,128 GB,FALSE,FALSE,TRUE,Hyper-Threading,https://pcpartpicker.com/product/9vDQzy/intel-core-i3-12100t-22-ghz-quad-core-oemtray-processor-cm8071504651106
AMD Athlon 200GE,AMD,$69.98 ,AMD Athlon,Zen,Raven Ridge,AM4,2,4,3.2,N/A,1 MB,4 MB,35,Radeon Vega 3,N/A,FALSE,TRUE,TRUE,None,https://pcpartpicker.com/product/dFhKHx/amd-athlon-200ge-32ghz-dual-core-processor-yd200gc6fbbox
AMD Ryzen 3 3200G,AMD,N/A,AMD Ryzen 3,Zen+,Picasso,AM4,4,4,3.6,4,2 MB,4 MB,65,Radeon Vega 8,64 GB,FALSE,FALSE,FALSE,None,https://pcpartpicker.com/product/P3CFf7/amd-ryzen-3-3200g-36-ghz-quad-core-oemtray-processor-yd3200c5m4mfh
Intel Core i9-13900T,Intel,N/A,Intel Core i9,Raptor Lake,Raptor Lake,LGA1700,24,32,1.1,5.3,32 MB,36 MB,35,Intel UHD Graphics 770,192 GB,TRUE,FALSE,TRUE,Hyper-Threading,https://pcpartpicker.com/product/Y4Fbt6/intel-core-i9-13900t-11-ghz-24-core-oemtray-processor-cm8071504820403
AMD Ryzen 5 3600,AMD,N/A,AMD Ryzen 5,Zen 2,Matisse,AM4,6,12,3.6,4.2,3 MB,32 MB,65,None,128 GB,FALSE,FALSE,TRUE,None,https://pcpartpicker.com/product/Mt92FT/amd-ryzen-5-3600-36-ghz-6-core-oemtray-processor-100-100000031mpk
AMD EPYC 4464P,AMD,$499.99 ,AMD EPYC,Zen 4,Raphael,AM5,12,24,3.7,5.4,12 MB,32 MB,65,Radeon,N/A,TRUE,FALSE,TRUE,None,https://pcpartpicker.com/product/XNrqqs/amd-epyc-4464p-37-ghz-12-core-processor-100-100001478wof
Intel Pentium Gold G6400,Intel,$66.95 ,Intel Pentium Gold,Comet Lake,Comet Lake,LGA1200,2,4,4,N/A,0.5 MB,4 MB,58,Intel UHD Graphics 610,128 GB,FALSE,TRUE,TRUE,Hyper-Threading,https://pcpartpicker.com/product/FvCFf7/intel-pentium-gold-g6400-4-ghz-dual-core-processor-bx80701g6400
Intel Core i7-7700,Intel,$326.08+,Intel Core i7,Kaby Lake,Kaby Lake-S,LGA1151,4,8,3.6,4.2,1 MB,8 MB,65,Intel HD Graphics 630,64 GB,FALSE,FALSE,TRUE,Hyper-Threading,https://pcpartpicker.com/product/RPhj4D/intel-core-i7-7700-36ghz-quad-core-oemtray-processor-cm8067702868314
AMD Ryzen 5 2600,AMD,N/A,AMD Ryzen 5,Zen+,Pinnacle Ridge,AM4,6,12,3.4,3.9,3 MB,15.99 MB,65,None,64 GB,FALSE,FALSE,TRUE,None,https://pcpartpicker.com/product/6Nvqqs/amd-ryzen-5-2600-34-ghz-6-core-oemtray-processor-yd2600bbm6iaf
AMD 5350,AMD,N/A,AMD Athlon,Jaguar,Kabini,AM1,4,4,2.05,N/A,2 MB,0 MB,25,Radeon HD 8400,N/A,FALSE,TRUE,FALSE,None,https://pcpartpicker.com/product/VGsKHx/amd-cpu-ad5350jahmbox
AMD Ryzen 5 7400,AMD,N/A,AMD Ryzen 5,Zen 4,Raphael,AM5,6,12,3.3,4.3,6 MB,16 MB,65,Radeon,128 GB,TRUE,FALSE,TRUE,None,https://pcpartpicker.com/product/GjgZxr/amd-ryzen-5-7400-33-ghz-6-core-oemtray-processor-100-000001900
AMD Ryzen 9 3900,AMD,N/A,AMD Ryzen 9,Zen 2,Matisse,AM4,12,24,3.1,N/A,6 MB,64 MB,65,None,128 GB,FALSE,FALSE,TRUE,None,https://pcpartpicker.com/product/KnbCmG/amd-ryzen-9-3900-31-ghz-12-core-oemtray-processor-100-000000070
Intel Core i9-9900K (Standard Folding Box),Intel,$350.00+,Intel Core i9,Coffee Lake Refresh,Coffee Lake Refresh,LGA1151,8,16,3.6,5,2 MB,16 MB,95,Intel UHD Graphics 630,128 GB,FALSE,FALSE,TRUE,Hyper-Threading,https://pcpartpicker.com/product/8jdrxr/intel-core-i9-9900k-36-ghz-8-core-processor-bx806849900k
Intel Core i5-3330,Intel,N/A,Intel Core i5,Ivy Bridge,Ivy Bridge,LGA1155,4,4,3,N/A,1 MB,6 MB,77,Intel HD Graphics 2500,N/A,FALSE,TRUE,FALSE,None,https://pcpartpicker.com/product/Jcw323/intel-cpu-bx80637i53330
AMD Threadripper 2990WX,AMD,N/A,AMD Threadripper,Zen+,Colfax,sTR4,32,64,3,4.2,16 MB,64 MB,250,None,1024 GB,TRUE,FALSE,TRUE,None,https://pcpartpicker.com/product/zXNv6h/amd-threadripper-2990wx-3ghz-32-core-processor-yd299xazafwof
Intel Celeron E3400,Intel,N/A,Intel Celeron,Wolfdale,Wolfdale,LGA775,2,2,2.6,N/A,1 MB,0 MB,65,None,N/A,FALSE,FALSE,FALSE,None,https://pcpartpicker.com/product/DLNp99/intel-cpu-at80571rg0641ml
Intel Core i5-13500T,Intel,N/A,Intel Core i5,Raptor Lake,Raptor Lake,LGA1700,14,20,1.6,4.6,11.5 MB,24 MB,35,Intel UHD Graphics 770,192 GB,FALSE,FALSE,TRUE,Hyper-Threading,https://pcpartpicker.com/product/TsbTwP/intel-core-i5-13500t-16-ghz-14-core-oemtray-processor-cm8071505092901
