name,price,manufacturer,formFactorInches,interfaceType,sizeTBs,RPM,cache,URL
Seagate Exos X18,N/A,Seagate,3.5,SATA 6.0 Gb/s,14,7200,256,https://pcpartpicker.com/product/tG92FT/seagate-exos-enterprise-x18-14-tb-35-7200rpm-internal-hard-drive-st14000nm000j
Toshiba P300,$143.63 ,Toshiba,3.5,SATA 6.0 Gb/s,2,5400,128,https://pcpartpicker.com/product/bCRYcf/toshiba-p300-2-tb-35-5400rpm-internal-hard-drive-hdwd220uzsva
Seagate Exos X14,$265.00+,Seagate,3.5,SATA 6.0 Gb/s,10,7200,256,https://pcpartpicker.com/product/KQfFf7/seagate-exos-x14-10-tb-35-7200rpm-internal-hard-drive-st10000nm0478
Western Digital Purple,$81.00+,Western Digital,3.5,SATA 6.0 Gb/s,2,5400,64,https://pcpartpicker.com/product/39Nv6h/western-digital-purple-2tb-35-5400rpm-internal-hard-drive-wd20purz
Samsung Spinpoint F2 EG,N/A,Samsung,3.5,SATA 3.0 Gb/s,1,5400,32,https://pcpartpicker.com/product/bF6BD3/samsung-internal-hard-drive-hd103si
Seagate BarraCuda,,,,,,,,https://pcpartpicker.com/product/4psKHx/seagate-internal-hard-drive-st3750528as
Seagate IronWolf NAS,N/A,Seagate,3.5,SATA 6.0 Gb/s,18,7200,256,https://pcpartpicker.com/product/h8Gbt6/seagate-ironwolf-nas-18-tb-35-7200rpm-internal-hard-drive-st18000vn000
Seagate SV35.5,$88.06+,Seagate,3.5,SATA 3.0 Gb/s,0.5,5900,16,https://pcpartpicker.com/product/HxJwrH/seagate-internal-hard-drive-st3500410sv
Western Digital Red Plus,$224.99+,Western Digital,3.5,SATA 6.0 Gb/s,8,5640,128,https://pcpartpicker.com/product/QWTp99/western-digital-red-plus-8-tb-35-5640-rpm-internal-hard-drive-wd80efzz
Western Digital Gold,$129.99 ,Western Digital,3.5,SATA 6.0 Gb/s,2,7200,128,https://pcpartpicker.com/product/PgM323/western-digital-gold-2tb-35-7200rpm-internal-hard-drive-wd2005fbyz
Toshiba N300,$300.05 ,Toshiba,3.5,SATA 6.0 Gb/s,14,7200,512,https://pcpartpicker.com/product/73RnTW/toshiba-n300-14-tb-35-7200-rpm-internal-hard-drive-hdwg51exzsta
Hitachi A7K1000-1000,$60.75+,Hitachi,3.5,SATA 3.0 Gb/s,1,7200,32,https://pcpartpicker.com/product/wNV48d/hitachi-internal-hard-drive-hua721010kla330
Seagate Exos X18,$435.24+,Seagate,3.5,SATA 6.0 Gb/s,14,7200,256,https://pcpartpicker.com/product/HRHqqs/seagate-exos-x18-14-tb-35-7200-rpm-internal-hard-drive-st14000nm001j
Western Digital AV-GP,N/A,Western Digital,3.5,SATA 3.0 Gb/s,0.25,5400,8,https://pcpartpicker.com/product/ncsKHx/western-digital-internal-hard-drive-wd2500avvs
Western Digital WD Red Pro,$299.99 ,Western Digital,3.5,SATA 6.0 Gb/s,12,7200,256,https://pcpartpicker.com/product/P9jJ7P/western-digital-red-pro-12-tb-35-7200rpm-internal-hard-drive-wd121kfbx
Western Digital Gold,$290.89+,Western Digital,3.5,SATA 6.0 Gb/s,6,7200,256,https://pcpartpicker.com/product/z2mFf7/western-digital-gold-6-tb-35-7200rpm-internal-hard-drive-wd6003fryz
Hitachi Ultrastar He8,$310.00+,Hitachi,3.5,SATA 6.0 Gb/s,8,7200,128,https://pcpartpicker.com/product/Vqs8TW/hitachi-internal-hard-drive-0f23668
Western Digital Scorpio Blue,$46.29+,Western Digital,2.5,SATA 1.5 Gb/s,0.16,5400,8,https://pcpartpicker.com/product/8nV48d/western-digital-internal-hard-drive-wd1600bevs
Seagate Exos 7E8 512e,$267.29+,Seagate,3.5,SATA 6.0 Gb/s,8,7200,256,https://pcpartpicker.com/product/N7n8TW/seagate-exos-7e8-512e-8-tb-35-7200rpm-internal-hard-drive-st8000nm004a
Seagate Momentus Thin,$29.00+,Seagate,2.5,SATA 3.0 Gb/s,0.32,7200,16,https://pcpartpicker.com/product/kyMFf7/seagate-internal-hard-drive-st320lt007
Toshiba X300,$459.70+,Toshiba,3.5,SATA 6.0 Gb/s,16,7200,512,https://pcpartpicker.com/product/sDLFf7/toshiba-x300-16-tb-35-7200rpm-internal-hard-drive-hdwr31gxzsta
Western Digital Caviar Blue,N/A,Western Digital,3.5,SATA 6.0 Gb/s,0.32,7200,16,https://pcpartpicker.com/product/bvyFf7/western-digital-internal-hard-drive-wd3200aakx
Western Digital Caviar Black,$149.94+,Western Digital,3.5,SATA 6.0 Gb/s,0.5,7200,32,https://pcpartpicker.com/product/tHMFf7/western-digital-internal-hard-drive-wd5002aalx
Western Digital Ultrastar DC HC520,N/A,Western Digital,3.5,SATA 6.0 Gb/s,12,7200,N/A,https://pcpartpicker.com/product/ykkgXL/western-digital-ultrastar-dc-hc520-12-tb-35-7200rpm-internal-hard-drive-0f30141
Hitachi Travelstar 7K1000,N/A,Hitachi,2.5,SATA 6.0 Gb/s,1,7200,32,https://pcpartpicker.com/product/ffK7YJ/hitachi-internal-hard-drive-0j30573
Seagate SkyHawk,$225.00 ,Seagate,3.5,SATA 6.0 Gb/s,8,5900,256,https://pcpartpicker.com/product/Hywqqs/seagate-skyhawk-8tb-35-5900rpm-internal-hard-drive-st8000vx0022
Western Digital Purple,$229.59+,Western Digital,3.5,SATA 6.0 Gb/s,8,5400,256,https://pcpartpicker.com/product/jW8j4D/western-digital-purple-8tb-35-5400rpm-internal-hard-drive-wd81purz
Seagate Momentus SpinPoint,N/A,Seagate,2.5,SATA 6.0 Gb/s,2,5400,32,https://pcpartpicker.com/product/hLW9TW/seagate-internal-hard-drive-st2000lm003
Seagate Momentus,$32.29+,Seagate,2.5,SATA 3.0 Gb/s,0.5,5400,8,https://pcpartpicker.com/product/tRmLrH/seagate-internal-hard-drive-st905003n1a1asrk
Western Digital Caviar Blue,$74.98+,Western Digital,3.5,SATA 3.0 Gb/s,0.5,7200,16,https://pcpartpicker.com/product/86fp99/western-digital-internal-hard-drive-wd5000aaks
Seagate ST2000NX0273,$131.00+,Seagate,2.5,SAS 12.0 Gb/s,2,7200,128,https://pcpartpicker.com/product/fTWrxr/seagate-internal-hard-drive-st2000nx0273
Toshiba MQ01ABF050M,N/A,Toshiba,2.5,SATA 6.0 Gb/s,0.5,5400,8,https://pcpartpicker.com/product/y2HRsY/toshiba-500-gb-25-5400rpm-internal-hard-drive-mq01abf050m
Seagate BarraCuda,N/A,Seagate,3.5,SATA 3.0 Gb/s,1.5,7200,32,https://pcpartpicker.com/product/xgW9TW/seagate-internal-hard-drive-st31500341as
Samsung Spinpoint M8,N/A,Samsung,2.5,SATA 3.0 Gb/s,0.5,5400,8,https://pcpartpicker.com/product/B32rxr/samsung-internal-hard-drive-st500lm012
Western Digital Caviar Black,N/A,Western Digital,3.5,SATA 6.0 Gb/s,4,7200,128,https://pcpartpicker.com/product/7VmxFT/western-digital-caviar-black-4tb-35-7200rpm-internal-hard-drive-wd4004fzwx
Western Digital Red Plus,N/A,Western Digital,3.5,SATA 6.0 Gb/s,2,5400,128,https://pcpartpicker.com/product/n9WzK8/western-digital-wd-red-plus-2-tb-35-5400rpm-internal-hard-drive-wd20efzx
Western Digital RE4,$39.60+,Western Digital,3.5,SATA 3.0 Gb/s,0.5,7200,64,https://pcpartpicker.com/product/DHg323/western-digital-internal-hard-drive-wd5003abyx
Western Digital Red,$209.00+,Western Digital,3.5,SATA 6.0 Gb/s,6,5400,256,https://pcpartpicker.com/product/GCNv6h/western-digital-red-6-tb-35-5400rpm-internal-hard-drive-wd60efax
Seagate IronWolf,N/A,Seagate,3.5,SATA 6.0 Gb/s,1,5400,256,https://pcpartpicker.com/product/9FtLrH/seagate-ironwolf-1-tb-35-5400-rpm-internal-hard-drive-st1000vn008
Toshiba MD04ACA400,N/A,Toshiba,3.5,SATA 6.0 Gb/s,4,7200,64,https://pcpartpicker.com/product/Lxs8TW/toshiba-4tb-35-7200rpm-internal-hard-drive-md04aca400
Western Digital Scorpio Blue,$175.06 ,Western Digital,2.5,SATA 3.0 Gb/s,0.32,5400,8,https://pcpartpicker.com/product/RQQypg/western-digital-internal-hard-drive-wd3200bevt
Western Digital Black,$65.00+,Western Digital,2.5,SATA 6.0 Gb/s,0.75,7200,16,https://pcpartpicker.com/product/Z3h9TW/western-digital-internal-hard-drive-wd7500bpkx
Seagate NAS HDD,N/A,Seagate,3.5,SATA 6.0 Gb/s,4,5400,64,https://pcpartpicker.com/product/yHx9TW/seagate-internal-hard-drive-st4000vn003
Seagate IronWolf NAS,$214.36+,Seagate,3.5,SATA 6.0 Gb/s,3,5900,64,https://pcpartpicker.com/product/WG2rxr/seagate-ironwolf-3tb-35-5900rpm-internal-hard-drive-st3000vn007
Seagate BarraCuda,N/A,Seagate,3.5,SATA 6.0 Gb/s,2,7200,64,https://pcpartpicker.com/product/r3JwrH/seagate-internal-hard-drive-st320005n1a1asrk
Hitachi Deskstar 7K1000.C,N/A,Hitachi,3.5,SATA 6.0 Gb/s,1,7200,N/A,https://pcpartpicker.com/product/zfQKHx/hitachi-deskstar-7k1000c-1-tb-35-7200-rpm-internal-hard-drive-hds721010cla632
Seagate Barracuda LP,$118.77 ,Seagate,3.5,SATA 3.0 Gb/s,2,5900,32,https://pcpartpicker.com/product/8Qbp99/seagate-internal-hard-drive-st32000542as
Seagate Momentus 7200.4,N/A,Seagate,2.5,SATA 3.0 Gb/s,0.5,7200,16,https://pcpartpicker.com/product/dTLypg/seagate-internal-hard-drive-st9500423as
Seagate Constellation ES,N/A,Seagate,3.5,SATA 6.0 Gb/s,2,7200,64,https://pcpartpicker.com/product/KDW9TW/seagate-internal-hard-drive-st2000nm0011
Toshiba X300,N/A,Toshiba,3.5,SATA 6.0 Gb/s,6,7200,128,https://pcpartpicker.com/product/89Nypg/toshiba-internal-hard-drive-hdwe160xzsta
Seagate Barracuda 7200.10,N/A,Seagate,3.5,SATA 3.0 Gb/s,0.16,7200,8,https://pcpartpicker.com/product/NJsKHx/seagate-internal-hard-drive-st3160815as
Seagate Enterprise,$154.90+,Seagate,3.5,SAS 12.0 Gb/s,6,7200,128,https://pcpartpicker.com/product/kXXfrH/seagate-internal-hard-drive-st6000nm0034
Hitachi Ultrastar 7K6000,$120.00+,Hitachi,3.5,SATA 6.0 Gb/s,4,7200,128,https://pcpartpicker.com/product/r9Jkcf/hitachi-internal-hard-drive-0f23005
Western Digital Purple,$228.94 ,Western Digital,3.5,SATA 6.0 Gb/s,8,5640,128,https://pcpartpicker.com/product/Vfytt6/western-digital-purple-8-tb-35-5640rpm-internal-hard-drive-wd84purz
Seagate ST1000NX0373,$39.70+,Seagate,2.5,SAS 12.0 Gb/s,1,7200,128,https://pcpartpicker.com/product/4dX2FT/seagate-internal-hard-drive-st1000nx0373
Hitachi Deskstar 7K2000,$70.14+,Hitachi,3.5,SATA 3.0 Gb/s,2,7200,32,https://pcpartpicker.com/product/2RPfrH/hitachi-internal-hard-drive-0f10311
Western Digital WD Red Pro,$430.00+,Western Digital,3.5,SATA 6.0 Gb/s,14,7200,N/A,https://pcpartpicker.com/product/8x9tt6/western-digital-red-pro-14-tb-35-7200rpm-internal-hard-drive-wd141kfgx
Hitachi 7K1000.B,N/A,Hitachi,3.5,SATA 3.0 Gb/s,1,7200,16,https://pcpartpicker.com/product/hWsKHx/hitachi-internal-hard-drive-hdt721010sla360
Western Digital AV-GP,N/A,Western Digital,3.5,SATA 3.0 Gb/s,0.5,5400,32,https://pcpartpicker.com/product/Bwbp99/western-digital-internal-hard-drive-wd5000avds
Seagate ST4000NC001,$147.47+,Seagate,3.5,SATA 6.0 Gb/s,4,5900,64,https://pcpartpicker.com/product/Lj3RsY/seagate-internal-hard-drive-st4000nc001
Western Digital Red,$119.79+,Western Digital,2.5,SATA 6.0 Gb/s,1,5400,16,https://pcpartpicker.com/product/NCGkcf/western-digital-internal-hard-drive-wd10jfcx
Western Digital VelociRaptor,$148.94+,Western Digital,3.5,SATA 3.0 Gb/s,0.3,10000,16,https://pcpartpicker.com/product/LMH323/western-digital-internal-hard-drive-wd3000hlfs
Seagate Archive,N/A,Seagate,3.5,SATA 6.0 Gb/s,8,5900,128,https://pcpartpicker.com/product/PP648d/seagate-internal-hard-drive-st8000as0002
Seagate Barracuda 7200.12,N/A,Seagate,3.5,SATA 3.0 Gb/s,0.5,7200,16,https://pcpartpicker.com/product/fRPfrH/seagate-internal-hard-drive-st3500418as25pk
Hitachi Ultrastar DC HC530,N/A,Hitachi,3.5,SATA 6.0 Gb/s,14,7200,256,https://pcpartpicker.com/product/9DpzK8/hitachi-ultrastar-dc-hc530-14-tb-35-7200-rpm-internal-hard-drive-0f31283
Seagate BarraCuda Pro,$270.00+,Seagate,3.5,SATA 6.0 Gb/s,6,7200,256,https://pcpartpicker.com/product/gBRFf7/seagate-barracuda-pro-6tb-35-7200rpm-internal-hard-drive-st6000dm004
Seagate Exos X18,$375.99 ,Seagate,3.5,SAS 12.0 Gb/s,16,7200,256,https://pcpartpicker.com/product/gdM48d/seagate-exos-x18-16-tb-35-7200rpm-internal-hard-drive-st16000nm004j
Seagate Exos 7E8,$92.00+,Seagate,3.5,SATA 6.0 Gb/s,3,7200,256,https://pcpartpicker.com/product/3L7p99/seagate-exos-7e8-3-tb-35-7200rpm-internal-hard-drive-st3000nm000a
Western Digital Red Plus,N/A,Western Digital,3.5,SATA 6.0 Gb/s,4,5400,64,https://pcpartpicker.com/product/4YqPxr/western-digital-wd-red-plus-4-tb-35-5400rpm-internal-hard-drive-wdbavv0040hnc-wrsn
Western Digital Blue,$74.73+,Western Digital,3.5,SATA 3.0 Gb/s,3,5400,32,https://pcpartpicker.com/product/LDGkcf/western-digital-blue-3-tb-35-5900rpm-internal-hard-drive-wdbh2d0030hnc-nrsn
Western Digital Purple,$76.98 ,Western Digital,3.5,SATA 6.0 Gb/s,2,5400,64,https://pcpartpicker.com/product/8FBv6h/western-digital-internal-hard-drive-wd20purx
Seagate BarraCuda,$249.58+,Seagate,2.5,SATA 6.0 Gb/s,3,5400,128,https://pcpartpicker.com/product/rhTrxr/seagate-barracude-3tb-25-5400rpm-internal-hard-drive-st3000lm024
Seagate Exos 7E8,$125.00+,Seagate,3.5,SATA 6.0 Gb/s,2,7200,256,https://pcpartpicker.com/product/KBhmP6/seagate-exos-7e8-2-tb-35-7200rpm-internal-hard-drive-st2000nm000a
Toshiba DT01-V,N/A,Toshiba,3.5,SATA 6.0 Gb/s,1,5940,64,https://pcpartpicker.com/product/NtLdnQ/toshiba-dt01-v-1-tb-35-5940-rpm-internal-hard-drive-dt01aba100v
Hitachi Travelstar 5K1000,N/A,Hitachi,2.5,SATA 6.0 Gb/s,1,5400,8,https://pcpartpicker.com/product/sDLypg/hitachi-internal-hard-drive-0j22413
Western Digital Ultrastar DC HC550,N/A,Western Digital,3.5,SATA 6.0 Gb/s,16,7200,512,https://pcpartpicker.com/product/T8t9TW/western-digital-ultrastar-dc-hc550-16-tb-35-7200rpm-internal-hard-drive-0f38461
Seagate ST3160023AS,N/A,Seagate,3.5,SATA 1.5 Gb/s,0.16,7200,8,https://pcpartpicker.com/product/KM8H99/seagate-internal-hard-drive-st3160023as
Seagate BarraCuda Pro,N/A,Seagate,3.5,SATA 6.0 Gb/s,2,7200,128,https://pcpartpicker.com/product/KX7CmG/seagate-barracuda-pro-2tb-35-7200rpm-internal-hard-drive-st2000dm009
Western Digital Purple,N/A,Western Digital,3.5,SATA 6.0 Gb/s,1,5900,64,https://pcpartpicker.com/product/qxyFf7/western-digital-internal-hard-drive-wd10purx
Seagate ST3000DM002,N/A,Seagate,3.5,SATA 6.0 Gb/s,3,7200,64,https://pcpartpicker.com/product/79Gj4D/seagate-internal-hard-drive-st3000dm002
Western Digital RE,$71.37+,Western Digital,3.5,SATA 6.0 Gb/s,2,7200,128,https://pcpartpicker.com/product/LvrmP6/western-digital-re-2-tb-35-7200rpm-internal-hard-drive-wd2004fbyz
Seagate Exos X24,$427.99+,Seagate,3.5,SAS 12.0 Gb/s,20,7200,512,https://pcpartpicker.com/product/MTdG3C/seagate-exos-x24-20-tb-35-7200-rpm-internal-hard-drive-st20000nm007h
Toshiba MG08ADA800E,N/A,Toshiba,3.5,SATA 6.0 Gb/s,8,7200,256,https://pcpartpicker.com/product/RY3gXL/toshiba-mg08ada800e-8-tb-35-7200rpm-internal-hard-drive-mg08ada800e
Seagate Exos X16,N/A,Seagate,3.5,SATA 6.0 Gb/s,10,7200,256,https://pcpartpicker.com/product/DGVG3C/seagate-exos-x16-10-tb-35-7200rpm-internal-hard-drive-st10000nm001g
Western Digital Purple Pro,$345.00+,Western Digital,3.5,SATA 6.0 Gb/s,14,7200,512,https://pcpartpicker.com/product/3gKKHx/western-digital-14-tb-35-7200rpm-internal-hard-drive-wd141purp
Western Digital Caviar Green,$79.98 ,Western Digital,3.5,SATA 3.0 Gb/s,1.5,5400,64,https://pcpartpicker.com/product/jwbp99/western-digital-internal-hard-drive-wd15ears
Western Digital VelociRaptor,$197.00+,Western Digital,3.5,SATA 3.0 Gb/s,0.15,10000,16,https://pcpartpicker.com/product/GyNp99/western-digital-internal-hard-drive-wd1500hlfs
Western Digital VelociRaptor,N/A,Western Digital,3.5,SATA 6.0 Gb/s,0.5,10000,64,https://pcpartpicker.com/product/VMh9TW/western-digital-internal-hard-drive-wd5000hhtz
Western Digital AV-25,$22.40+,Western Digital,2.5,SATA 3.0 Gb/s,0.32,5400,16,https://pcpartpicker.com/product/JhH323/western-digital-internal-hard-drive-wd3200buct
Toshiba X300,$389.99 ,Toshiba,3.5,SATA 6.0 Gb/s,12,7200,256,https://pcpartpicker.com/product/RjdxFT/toshiba-x300-12-tb-35-7200rpm-internal-hard-drive-hdwr21cxzsta
Western Digital Green,$78.98+,Western Digital,3.5,SATA 3.0 Gb/s,1,5400,64,https://pcpartpicker.com/product/dzqdnQ/western-digital-internal-hard-drive-wd10eavs
Toshiba PH3500U-1I72,$179.00+,Toshiba,3.5,SATA 6.0 Gb/s,5,7200,128,https://pcpartpicker.com/product/bwPzK8/toshiba-internal-hard-drive-ph3500u1i72
Hitachi 7K1000.C,N/A,Hitachi,3.5,SATA 3.0 Gb/s,0.5,7200,16,https://pcpartpicker.com/product/PjMFf7/hitachi-internal-hard-drive-hds721050cla362
Samsung Spinpoint F2 EG,N/A,Samsung,3.5,SATA 3.0 Gb/s,0.5,5400,16,https://pcpartpicker.com/product/67bp99/samsung-internal-hard-drive-hd502hi
Western Digital Raptor,N/A,Western Digital,3.5,SATA 3.0 Gb/s,0.15,10000,16,https://pcpartpicker.com/product/W2dqqs/western-digital-internal-hard-drive-wd1500adfs
Seagate IronWolf Pro,N/A,Seagate,3.5,SATA 6.0 Gb/s,2,7200,128,https://pcpartpicker.com/product/Hs22FT/seagate-ironwolf-pro-2-tb-35-7200rpm-internal-hard-drive-st2000ne0025
Western Digital Caviar Green,$229.00+,Western Digital,3.5,SATA 3.0 Gb/s,3,5400,64,https://pcpartpicker.com/product/krbp99/western-digital-internal-hard-drive-wdbaay0030hncnrsn
Western Digital Blue,N/A,Western Digital,3.5,SATA 6.0 Gb/s,4,5400,64,https://pcpartpicker.com/product/PgJkcf/western-digital-internal-hard-drive-wd40e31x
Toshiba N300 Pro,$318.99 ,Toshiba,3.5,SATA 6.0 Gb/s,14,7200,512,https://pcpartpicker.com/product/HZNxFT/toshiba-n300-pro-14-tb-35-7200rpm-internal-hard-drive-hdwg51exzstb
Toshiba X300 Pro,$288.99 ,Toshiba,3.5,SATA 6.0 Gb/s,16,7200,512,https://pcpartpicker.com/product/dPZ9TW/toshiba-x300-pro-16-tb-35-7200rpm-internal-hard-drive-hdwr51gxzstb
Toshiba X300 Pro,$288.99 ,Toshiba,3.5,SATA 6.0 Gb/s,12,7200,512,https://pcpartpicker.com/product/JD92FT/toshiba-x300-pro-12-tb-35-7200rpm-internal-hard-drive-hdwr51cxzstb
Seagate IronWolf Pro,N/A,Seagate,3.5,SATA 6.0 Gb/s,8,7200,256,https://pcpartpicker.com/product/dZ848d/seagate-ironwolf-pro-8-tb-35-7200rpm-internal-hard-drive-st8000ne0004
Toshiba V300,N/A,Toshiba,3.5,SATA 6.0 Gb/s,2,5700,N/A,https://pcpartpicker.com/product/J4cG3C/toshiba-v300-2-tb-35-5700rpm-internal-hard-drive-hdwu120uzsva
Seagate SkyHawk,$113.95+,Seagate,3.5,SATA 6.0 Gb/s,2,5900,64,https://pcpartpicker.com/product/qFBrxr/seagate-skyhawk-2tb-35-5900rpm-internal-hard-drive-st2000vx008
Hitachi 7K2000,N/A,Hitachi,3.5,SATA 3.0 Gb/s,2,7200,32,https://pcpartpicker.com/product/c2DwrH/hitachi-internal-hard-drive-hds722020ala330
Samsung ST750LM022/HN-M750MBB,N/A,Samsung,2.5,SATA 3.0 Gb/s,0.75,5400,8,https://pcpartpicker.com/product/2c8Zxr/samsung-internal-hard-drive-st750lm022hnm750mbb
Hitachi HTS547550A9E384,N/A,Hitachi,2.5,SATA 3.0 Gb/s,0.5,5400,8,https://pcpartpicker.com/product/CBZ2FT/hitachi-internal-hard-drive-hts547550a9e384
Western Digital Caviar Blue,$75.60 ,Western Digital,3.5,SATA 3.0 Gb/s,0.25,7200,8,https://pcpartpicker.com/product/2hXfrH/western-digital-internal-hard-drive-wd2500aajs
Western Digital Scorpio Blue,$54.00+,Western Digital,2.5,SATA 3.0 Gb/s,0.75,5400,8,https://pcpartpicker.com/product/Hd7wrH/western-digital-internal-hard-drive-wd7500bpvt
Samsung Spinpoint F1 DT,N/A,Samsung,3.5,SATA 3.0 Gb/s,0.32,7200,8,https://pcpartpicker.com/product/ywbp99/samsung-internal-hard-drive-hd321hj
Seagate Surveillance HDD,N/A,Seagate,3.5,SATA 6.0 Gb/s,6,5400,128,https://pcpartpicker.com/product/7jX2FT/seagate-internal-hard-drive-st6000vx0001
Seagate BarraCuda,$128.58+,Seagate,3.5,SATA 3.0 Gb/s,0.5,7200,32,https://pcpartpicker.com/product/hfXfrH/seagate-internal-hard-drive-st3500320as
Seagate Barracuda 7200.11,$59.00+,Seagate,3.5,SATA 3.0 Gb/s,0.32,7200,16,https://pcpartpicker.com/product/xfW9TW/seagate-internal-hard-drive-st3320613as
Seagate Momentus,N/A,Seagate,2.5,SATA 6.0 Gb/s,1,5400,8,https://pcpartpicker.com/product/GtJkcf/seagate-internal-hard-drive-st1000lm024
Western Digital WDBSLA0010HNC-NRSN,$75.00+,Western Digital,3.5,SATA 6.0 Gb/s,1,7200,N/A,https://pcpartpicker.com/product/td98TW/western-digital-internal-hard-drive-wdbsla0010hncnrsn
Toshiba PH3300U-1I72,$159.00+,Toshiba,3.5,SATA 6.0 Gb/s,3,7200,64,https://pcpartpicker.com/product/LqjG3C/toshiba-internal-hard-drive-ph3300u1i72
Western Digital Black,N/A,Western Digital,3.5,SATA 6.0 Gb/s,5,7200,128,https://pcpartpicker.com/product/P4nG3C/western-digital-internal-hard-drive-wd5001fzwx
Seagate Enterprise Capacity,N/A,Seagate,3.5,SATA 6.0 Gb/s,12,7200,256,https://pcpartpicker.com/product/ZhfhP6/seagate-enterprise-capacity-12-tb-35-7200rpm-internal-hard-drive-st12000nm0017
Seagate IronWolf NAS,$460.00+,Seagate,3.5,SATA 6.0 Gb/s,14,7200,256,https://pcpartpicker.com/product/pBHRsY/seagate-ironwolf-14tb-35-7200rpm-internal-hard-drive-st14000vn0008
Seagate SkyHawk Surveillance,$215.59+,Seagate,3.5,SATA 6.0 Gb/s,8,7200,256,https://pcpartpicker.com/product/RR6qqs/seagate-skyhawk-surveillance-8-tb-35-7200rpm-internal-hard-drive-st8000vx004
Seagate Enterprise Capacity,$249.45+,Seagate,3.5,SAS 6.0 Gb/s,8,7200,256,https://pcpartpicker.com/product/TzQG3C/seagate-enterprise-capacity-8-tb-35-7200rpm-internal-hard-drive-st8000nm0075
Seagate EXOS Enterprise,$179.99+,Seagate,3.5,SATA 6.0 Gb/s,4,7200,256,https://pcpartpicker.com/product/t2mFf7/seagate-exos-enterprise-4-tb-35-7200rpm-internal-hard-drive-st4000nm002a
Seagate SkyHawk AI,N/A,Seagate,3.5,SATA 6.0 Gb/s,16,7200,256,https://pcpartpicker.com/product/YF8bt6/seagate-16-tb-35-7200rpm-internal-hard-drive-st16000ve002
Western Digital Purple Pro,$319.69+,Western Digital,3.5,SATA 6.0 Gb/s,12,7200,256,https://pcpartpicker.com/product/hnXJ7P/western-digital-12-tb-35-7200rpm-internal-hard-drive-wd121purp
Seagate Exos X18,N/A,Seagate,3.5,SATA 6.0 Gb/s,10,7200,512,https://pcpartpicker.com/product/kNfnTW/seagate-exos-x18-10-tb-35-7200-rpm-internal-hard-drive-st10000nm020g
Western Digital Gold,$109.95+,Western Digital,3.5,SATA 6.0 Gb/s,1,7200,128,https://pcpartpicker.com/product/drbkcf/western-digital-gold-1tb-35-7200rpm-internal-hard-drive-wd1005fbyz
Toshiba X300,$258.39 ,Toshiba,3.5,SATA 6.0 Gb/s,8,7200,128,https://pcpartpicker.com/product/m4Nv6h/toshiba-x300-8tb-35-7200rpm-internal-hard-drive-hdwf180xzsta
Hitachi Deskstar NAS,$135.00+,Hitachi,3.5,SATA 6.0 Gb/s,4,7200,128,https://pcpartpicker.com/product/HPkwrH/hitachi-deskstar-nas-4tb-35-7200rpm-internal-hard-drive-0s04005
Western Digital Red,$135.00+,Western Digital,3.5,SATA 6.0 Gb/s,2,5400,256,https://pcpartpicker.com/product/9jYLrH/western-digital-red-2-tb-35-5400rpm-internal-hard-drive-wd20efax
Seagate Enterprise Performance,N/A,Seagate,2.5,SAS 12.0 Gb/s,0.9,15000,256,https://pcpartpicker.com/product/Kfw7YJ/seagate-enterprise-performance-900-gb-25-15000rpm-internal-hard-drive-st900mp0006
Seagate IronWolf Pro,$269.39+,Seagate,3.5,SATA 6.0 Gb/s,4,7200,128,https://pcpartpicker.com/product/ZpCD4D/seagate-ironwolf-pro-4-tb-35-7200rpm-internal-hard-drive-st4000ne0025
Seagate Cheetah 15K.7,$105.00+,Seagate,3.5,SAS 6.0 Gb/s,0.6,15000,16,https://pcpartpicker.com/product/Ws4gXL/seagate-internal-hard-drive-st3600057ss
Toshiba MQ01ABD075,N/A,Toshiba,2.5,SATA 3.0 Gb/s,0.75,5400,8,https://pcpartpicker.com/product/nM9KHx/toshiba-internal-hard-drive-mq01abd075
Western Digital Caviar Green,$44.99+,Western Digital,3.5,SATA 3.0 Gb/s,0.5,5400,16,https://pcpartpicker.com/product/wRtCmG/western-digital-internal-hard-drive-wd5000aacs
Western Digital Caviar Green,N/A,Western Digital,3.5,SATA 6.0 Gb/s,0.5,5400,64,https://pcpartpicker.com/product/FrkD4D/western-digital-internal-hard-drive-wd5000azrx
Seagate Exos X18,$349.37+,Seagate,3.5,SATA 6.0 Gb/s,12,7200,512,https://pcpartpicker.com/product/kKGhP6/seagate-exos-x18-12-tb-35-7200-rpm-internal-hard-drive-st12000nm001j
Western Digital SE,N/A,Western Digital,3.5,SATA 6.0 Gb/s,2,7200,64,https://pcpartpicker.com/product/hWH323/western-digital-internal-hard-drive-wd2000f9yz
Toshiba L200,N/A,Toshiba,2.5,SATA 6.0 Gb/s,2,5400,128,https://pcpartpicker.com/product/ZTytt6/toshiba-l200-2-tb-25-5400-rpm-internal-hard-drive-hdwl120uzsva
Seagate Exos X18,$502.55+,Seagate,3.5,SATA 6.0 Gb/s,16,7200,256,https://pcpartpicker.com/product/rrBG3C/seagate-exos-x18-16-tb-35-7200rpm-internal-hard-drive-st16000nm001j
Western Digital WD1001FALS,N/A,Western Digital,3.5,SATA 3.0 Gb/s,0.5,7200,32,https://pcpartpicker.com/product/3hXfrH/western-digital-internal-hard-drive-wd5001aals
